S.No,Language,School,Gender,Age,RuralOrUrban,Family Size,Parent's Cohabitation,Mother's Education,Father's Education,Mother's job ,Father's job,Reason to choose this school,Guardian,Traveltime ,Studytime,Failures ,School educational support,Family educational support,extra paid classes,extra-curricular activities,attended nursery school,wants to take higher education,Internet access at home,with a romantic relationship,quality of family relationships,free time after school,going out with friends,workday alcohol consumption,weekend alcohol consumption,current health status,number of school absences,first period grade,second period grade ,final grade ,School educational support_Lag1,School educational support_Lag2,Family educational support_Lag1,Family educational support_Lag2,extra paid classes_Lag1,extra paid classes_Lag2,Total Grade
1,Math,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,7.5,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,NA,NA,NA,NA,NA,NA,5.75
2,Math,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2.5,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,yes,NA,no,NA,no,NA,5.5
3,Math,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2.5,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,no,yes,yes,no,no,no,8.75
4,Math,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,7.5,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,yes,no,no,yes,yes,no,14.75
5,Math,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2.5,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,no,yes,yes,no,yes,yes,9
6,Math,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,no,no,yes,yes,yes,yes,15
7,Math,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2.5,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,no,no,yes,yes,yes,yes,11.5
8,Math,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2.5,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,no,no,no,yes,no,yes,5.75
9,Math,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2.5,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,yes,no,yes,no,no,no,18
10,Math,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,no,yes,yes,yes,yes,no,14.75
